dataset,split_id,seed,raw_files,raw_rows,train_rows,test_rows,train_positive,test_positive,group_field,split_strategy,feature_count,feature_schema_sha256,dataset_config_sha256,preprocessing_state_sha256,config_path,software_version
CICIDS2017,cicids2017_friday_holdout_sample,0,data/raw/cicids2017/machine_learning/Monday-WorkingHours.pcap_ISCX.csv.parquet;data/raw/cicids2017/machine_learning/Tuesday-WorkingHours.pcap_ISCX.csv.parquet;data/raw/cicids2017/machine_learning/Wednesday-workingHours.pcap_ISCX.csv.parquet;data/raw/cicids2017/machine_learning/Thursday-WorkingHours-Morning-WebAttacks.pcap_ISCX.csv.parquet;data/raw/cicids2017/machine_learning/Thursday-WorkingHours-Afternoon-Infilteration.pcap_ISCX.csv.parquet;data/raw/cicids2017/machine_learning/Friday-WorkingHours-Morning.pcap_ISCX.csv.parquet;data/raw/cicids2017/machine_learning/Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv.parquet;data/raw/cicids2017/machine_learning/Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv.parquet,240000,150000,90000,12262,33967,day,day_holdout,77,83c13f3e2bc16ce50ca7add6bb12ab7f678678e366498bfd6c6e20856b84bd9e,875c8211aac0daedab7cba842bef144eed83fca0ebc88a3e264a96983b985e75,c1a742e08c7ef81748b8a538e7a6a7d71046a45539e1067d3979fe7984cc55e1,results/configs/tier_e_core4_hgb_mlp_timed/cicids2017.yaml,0.1.0
CICIDS2017,cicids2017_friday_holdout_sample,1,data/raw/cicids2017/machine_learning/Monday-WorkingHours.pcap_ISCX.csv.parquet;data/raw/cicids2017/machine_learning/Tuesday-WorkingHours.pcap_ISCX.csv.parquet;data/raw/cicids2017/machine_learning/Wednesday-workingHours.pcap_ISCX.csv.parquet;data/raw/cicids2017/machine_learning/Thursday-WorkingHours-Morning-WebAttacks.pcap_ISCX.csv.parquet;data/raw/cicids2017/machine_learning/Thursday-WorkingHours-Afternoon-Infilteration.pcap_ISCX.csv.parquet;data/raw/cicids2017/machine_learning/Friday-WorkingHours-Morning.pcap_ISCX.csv.parquet;data/raw/cicids2017/machine_learning/Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv.parquet;data/raw/cicids2017/machine_learning/Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv.parquet,240000,150000,90000,12262,33967,day,day_holdout,77,83c13f3e2bc16ce50ca7add6bb12ab7f678678e366498bfd6c6e20856b84bd9e,22b41f8516de789be980fe7c5aa4442b81286101e7cdd78156782928c5c2aafd,dda0d04b7b5243543b3b901e78c630c688728729dc345fa894703feadcf095ac,results/configs/tier_e_core4_hgb_mlp_timed/cicids2017.yaml,0.1.0
CICIDS2017,cicids2017_friday_holdout_sample,2,data/raw/cicids2017/machine_learning/Monday-WorkingHours.pcap_ISCX.csv.parquet;data/raw/cicids2017/machine_learning/Tuesday-WorkingHours.pcap_ISCX.csv.parquet;data/raw/cicids2017/machine_learning/Wednesday-workingHours.pcap_ISCX.csv.parquet;data/raw/cicids2017/machine_learning/Thursday-WorkingHours-Morning-WebAttacks.pcap_ISCX.csv.parquet;data/raw/cicids2017/machine_learning/Thursday-WorkingHours-Afternoon-Infilteration.pcap_ISCX.csv.parquet;data/raw/cicids2017/machine_learning/Friday-WorkingHours-Morning.pcap_ISCX.csv.parquet;data/raw/cicids2017/machine_learning/Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv.parquet;data/raw/cicids2017/machine_learning/Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv.parquet,240000,150000,90000,12262,33967,day,day_holdout,77,83c13f3e2bc16ce50ca7add6bb12ab7f678678e366498bfd6c6e20856b84bd9e,88f0f298ed066cb9971577b5ac51f32c978822d7ded4d95725ad593e73ff0ac9,1c850558226c77cd66dc1d6b24325d24a6c18a723efa2321e4ec284a6edd21ce,results/configs/tier_e_core4_hgb_mlp_timed/cicids2017.yaml,0.1.0
CICIDS2017,cicids2017_friday_holdout_sample,3,data/raw/cicids2017/machine_learning/Monday-WorkingHours.pcap_ISCX.csv.parquet;data/raw/cicids2017/machine_learning/Tuesday-WorkingHours.pcap_ISCX.csv.parquet;data/raw/cicids2017/machine_learning/Wednesday-workingHours.pcap_ISCX.csv.parquet;data/raw/cicids2017/machine_learning/Thursday-WorkingHours-Morning-WebAttacks.pcap_ISCX.csv.parquet;data/raw/cicids2017/machine_learning/Thursday-WorkingHours-Afternoon-Infilteration.pcap_ISCX.csv.parquet;data/raw/cicids2017/machine_learning/Friday-WorkingHours-Morning.pcap_ISCX.csv.parquet;data/raw/cicids2017/machine_learning/Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv.parquet;data/raw/cicids2017/machine_learning/Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv.parquet,240000,150000,90000,12262,33967,day,day_holdout,77,83c13f3e2bc16ce50ca7add6bb12ab7f678678e366498bfd6c6e20856b84bd9e,337f0cd09f8baff99418e8a2206ff54bb1a9b65bec0a280b8f4eefdaef580f12,f53ede00bdb7188e4b262fb87fee7ecc2bd99448d4434706334678781c0b9e6e,results/configs/tier_e_core4_hgb_mlp_timed/cicids2017.yaml,0.1.0
CICIDS2017,cicids2017_friday_holdout_sample,4,data/raw/cicids2017/machine_learning/Monday-WorkingHours.pcap_ISCX.csv.parquet;data/raw/cicids2017/machine_learning/Tuesday-WorkingHours.pcap_ISCX.csv.parquet;data/raw/cicids2017/machine_learning/Wednesday-workingHours.pcap_ISCX.csv.parquet;data/raw/cicids2017/machine_learning/Thursday-WorkingHours-Morning-WebAttacks.pcap_ISCX.csv.parquet;data/raw/cicids2017/machine_learning/Thursday-WorkingHours-Afternoon-Infilteration.pcap_ISCX.csv.parquet;data/raw/cicids2017/machine_learning/Friday-WorkingHours-Morning.pcap_ISCX.csv.parquet;data/raw/cicids2017/machine_learning/Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv.parquet;data/raw/cicids2017/machine_learning/Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv.parquet,240000,150000,90000,12262,33967,day,day_holdout,77,83c13f3e2bc16ce50ca7add6bb12ab7f678678e366498bfd6c6e20856b84bd9e,2a40f65d5db6d88b0be4cc8927b7ad283830063957524c69b0f850acede86b60,83a33f689ce51881ad2773568a01cbe7d54d794e380216ddfc4c903bdf74fa46,results/configs/tier_e_core4_hgb_mlp_timed/cicids2017.yaml,0.1.0
CICIDS2017,cicids2017_friday_holdout_sample,5,data/raw/cicids2017/machine_learning/Monday-WorkingHours.pcap_ISCX.csv.parquet;data/raw/cicids2017/machine_learning/Tuesday-WorkingHours.pcap_ISCX.csv.parquet;data/raw/cicids2017/machine_learning/Wednesday-workingHours.pcap_ISCX.csv.parquet;data/raw/cicids2017/machine_learning/Thursday-WorkingHours-Morning-WebAttacks.pcap_ISCX.csv.parquet;data/raw/cicids2017/machine_learning/Thursday-WorkingHours-Afternoon-Infilteration.pcap_ISCX.csv.parquet;data/raw/cicids2017/machine_learning/Friday-WorkingHours-Morning.pcap_ISCX.csv.parquet;data/raw/cicids2017/machine_learning/Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv.parquet;data/raw/cicids2017/machine_learning/Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv.parquet,240000,150000,90000,12262,33967,day,day_holdout,77,83c13f3e2bc16ce50ca7add6bb12ab7f678678e366498bfd6c6e20856b84bd9e,8abd3d6ee7069e9d36f8a74ffd2f4b823bea404d2fb44f9add7fe0eab33e6b62,154decb67e6b890c3fd614b7ea21f2fbd7da180b43b82fd0199906bbaab6d2c8,results/configs/tier_e_core4_hgb_mlp_timed/cicids2017.yaml,0.1.0
CICIDS2017,cicids2017_friday_holdout_sample,6,data/raw/cicids2017/machine_learning/Monday-WorkingHours.pcap_ISCX.csv.parquet;data/raw/cicids2017/machine_learning/Tuesday-WorkingHours.pcap_ISCX.csv.parquet;data/raw/cicids2017/machine_learning/Wednesday-workingHours.pcap_ISCX.csv.parquet;data/raw/cicids2017/machine_learning/Thursday-WorkingHours-Morning-WebAttacks.pcap_ISCX.csv.parquet;data/raw/cicids2017/machine_learning/Thursday-WorkingHours-Afternoon-Infilteration.pcap_ISCX.csv.parquet;data/raw/cicids2017/machine_learning/Friday-WorkingHours-Morning.pcap_ISCX.csv.parquet;data/raw/cicids2017/machine_learning/Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv.parquet;data/raw/cicids2017/machine_learning/Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv.parquet,240000,150000,90000,12262,33967,day,day_holdout,77,83c13f3e2bc16ce50ca7add6bb12ab7f678678e366498bfd6c6e20856b84bd9e,fba1a97fb5660dabe479399764b30b628ab995574101d38348d09f6ab7ab9f93,699ce3fad5f9c0dd5634a12cb62cc2028ef9d1e7654cffb383e35c3f90a2b669,results/configs/tier_e_core4_hgb_mlp_timed/cicids2017.yaml,0.1.0
CICIDS2017,cicids2017_friday_holdout_sample,7,data/raw/cicids2017/machine_learning/Monday-WorkingHours.pcap_ISCX.csv.parquet;data/raw/cicids2017/machine_learning/Tuesday-WorkingHours.pcap_ISCX.csv.parquet;data/raw/cicids2017/machine_learning/Wednesday-workingHours.pcap_ISCX.csv.parquet;data/raw/cicids2017/machine_learning/Thursday-WorkingHours-Morning-WebAttacks.pcap_ISCX.csv.parquet;data/raw/cicids2017/machine_learning/Thursday-WorkingHours-Afternoon-Infilteration.pcap_ISCX.csv.parquet;data/raw/cicids2017/machine_learning/Friday-WorkingHours-Morning.pcap_ISCX.csv.parquet;data/raw/cicids2017/machine_learning/Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv.parquet;data/raw/cicids2017/machine_learning/Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv.parquet,240000,150000,90000,12262,33967,day,day_holdout,77,83c13f3e2bc16ce50ca7add6bb12ab7f678678e366498bfd6c6e20856b84bd9e,69b5fa56cc05530dbdb9f576ddafd5a2912178b77a92718854cab77032079820,47333d555b1d86b5a6293e99504dde3a76fb3eea4e754d56bdc8f267bbd77aad,results/configs/tier_e_core4_hgb_mlp_timed/cicids2017.yaml,0.1.0
CICIDS2017,cicids2017_friday_holdout_sample,8,data/raw/cicids2017/machine_learning/Monday-WorkingHours.pcap_ISCX.csv.parquet;data/raw/cicids2017/machine_learning/Tuesday-WorkingHours.pcap_ISCX.csv.parquet;data/raw/cicids2017/machine_learning/Wednesday-workingHours.pcap_ISCX.csv.parquet;data/raw/cicids2017/machine_learning/Thursday-WorkingHours-Morning-WebAttacks.pcap_ISCX.csv.parquet;data/raw/cicids2017/machine_learning/Thursday-WorkingHours-Afternoon-Infilteration.pcap_ISCX.csv.parquet;data/raw/cicids2017/machine_learning/Friday-WorkingHours-Morning.pcap_ISCX.csv.parquet;data/raw/cicids2017/machine_learning/Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv.parquet;data/raw/cicids2017/machine_learning/Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv.parquet,240000,150000,90000,12262,33967,day,day_holdout,77,83c13f3e2bc16ce50ca7add6bb12ab7f678678e366498bfd6c6e20856b84bd9e,7fc34877be981785580baa52f09a6ff40bc57c2d731cd0812fc7047ac3ce7c36,1a15cd41c285693e76533aeff6d85a03deed253227a0fa7db3c6a63db7caf4ad,results/configs/tier_e_core4_hgb_mlp_timed/cicids2017.yaml,0.1.0
CICIDS2017,cicids2017_friday_holdout_sample,9,data/raw/cicids2017/machine_learning/Monday-WorkingHours.pcap_ISCX.csv.parquet;data/raw/cicids2017/machine_learning/Tuesday-WorkingHours.pcap_ISCX.csv.parquet;data/raw/cicids2017/machine_learning/Wednesday-workingHours.pcap_ISCX.csv.parquet;data/raw/cicids2017/machine_learning/Thursday-WorkingHours-Morning-WebAttacks.pcap_ISCX.csv.parquet;data/raw/cicids2017/machine_learning/Thursday-WorkingHours-Afternoon-Infilteration.pcap_ISCX.csv.parquet;data/raw/cicids2017/machine_learning/Friday-WorkingHours-Morning.pcap_ISCX.csv.parquet;data/raw/cicids2017/machine_learning/Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv.parquet;data/raw/cicids2017/machine_learning/Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv.parquet,240000,150000,90000,12262,33967,day,day_holdout,77,83c13f3e2bc16ce50ca7add6bb12ab7f678678e366498bfd6c6e20856b84bd9e,3997309f9d3c2f6b00a7ff9d781af01c9391f41fbfc610783489afdd1cecddc7,360aa5fc7a19f9c9cb1fbe22a5a5a97888eb5557cac716a5a08a937b7d627da5,results/configs/tier_e_core4_hgb_mlp_timed/cicids2017.yaml,0.1.0
