dataset,split_id,seed,raw_files,raw_rows,train_rows,test_rows,train_positive,test_positive,group_field,split_strategy,feature_count,feature_schema_sha256,dataset_config_sha256,preprocessing_state_sha256,config_path,software_version
CSE-CIC-IDS2018,cse_cic_ids2018_friday_holdout_sample,0,data/raw/cse_cic_ids2018/Wednesday-21-02-2018_TrafficForML_CICFlowMeter.csv;data/raw/cse_cic_ids2018/Wednesday-28-02-2018_TrafficForML_CICFlowMeter.csv;data/raw/cse_cic_ids2018/Thursday-01-03-2018_TrafficForML_CICFlowMeter.csv;data/raw/cse_cic_ids2018/Friday-02-03-2018_TrafficForML_CICFlowMeter.csv,20000,15000,5000,5343,1288,date,date_holdout,77,9da1a48fed54c5d628177a1a5fb29a15d511823a7fee4b0576395af29a9a0aa8,e72d7d5f6ec94696566e089a9d4d9362d66e31b69d19cc67fcc1c2743c6d2231,ac9d32e282a9c3432aebab298bf6bff33d6f69fdcbbc0b4fb8c8bd38eda40211,results/configs/tier_e_core4_hgb_mlp_timed/cse_cic_ids2018.yaml,0.1.0
CSE-CIC-IDS2018,cse_cic_ids2018_friday_holdout_sample,1,data/raw/cse_cic_ids2018/Wednesday-21-02-2018_TrafficForML_CICFlowMeter.csv;data/raw/cse_cic_ids2018/Wednesday-28-02-2018_TrafficForML_CICFlowMeter.csv;data/raw/cse_cic_ids2018/Thursday-01-03-2018_TrafficForML_CICFlowMeter.csv;data/raw/cse_cic_ids2018/Friday-02-03-2018_TrafficForML_CICFlowMeter.csv,20000,15000,5000,5239,1322,date,date_holdout,77,9da1a48fed54c5d628177a1a5fb29a15d511823a7fee4b0576395af29a9a0aa8,8b7ee4fa1690d6a5ab654830cb9bbd3c5c79c458184e48611e2a006eb8c21fc1,d9c7ca30a503ba8288470331771f2a99b1f27ef8edba15973a9e1b648179b93c,results/configs/tier_e_core4_hgb_mlp_timed/cse_cic_ids2018.yaml,0.1.0
CSE-CIC-IDS2018,cse_cic_ids2018_friday_holdout_sample,2,data/raw/cse_cic_ids2018/Wednesday-21-02-2018_TrafficForML_CICFlowMeter.csv;data/raw/cse_cic_ids2018/Wednesday-28-02-2018_TrafficForML_CICFlowMeter.csv;data/raw/cse_cic_ids2018/Thursday-01-03-2018_TrafficForML_CICFlowMeter.csv;data/raw/cse_cic_ids2018/Friday-02-03-2018_TrafficForML_CICFlowMeter.csv,20000,15000,5000,5275,1363,date,date_holdout,77,9da1a48fed54c5d628177a1a5fb29a15d511823a7fee4b0576395af29a9a0aa8,3771106debe827cb76c712a3826377e03137d4ba4f7abeaf4a20eed5e9158a04,e435497dc37450bf3b309c0cf0ffe11c1afb5225ef97b06c37e9594e0586c523,results/configs/tier_e_core4_hgb_mlp_timed/cse_cic_ids2018.yaml,0.1.0
CSE-CIC-IDS2018,cse_cic_ids2018_friday_holdout_sample,3,data/raw/cse_cic_ids2018/Wednesday-21-02-2018_TrafficForML_CICFlowMeter.csv;data/raw/cse_cic_ids2018/Wednesday-28-02-2018_TrafficForML_CICFlowMeter.csv;data/raw/cse_cic_ids2018/Thursday-01-03-2018_TrafficForML_CICFlowMeter.csv;data/raw/cse_cic_ids2018/Friday-02-03-2018_TrafficForML_CICFlowMeter.csv,20000,15000,5000,5266,1408,date,date_holdout,77,9da1a48fed54c5d628177a1a5fb29a15d511823a7fee4b0576395af29a9a0aa8,bc3eb3c5a12d2b12c7cd016c1336b1e69f526e53768bdcf5d707584c2a0efd98,3d851933585ac3376804487dd04ae549fe64a409812413cddd52659839f64624,results/configs/tier_e_core4_hgb_mlp_timed/cse_cic_ids2018.yaml,0.1.0
CSE-CIC-IDS2018,cse_cic_ids2018_friday_holdout_sample,4,data/raw/cse_cic_ids2018/Wednesday-21-02-2018_TrafficForML_CICFlowMeter.csv;data/raw/cse_cic_ids2018/Wednesday-28-02-2018_TrafficForML_CICFlowMeter.csv;data/raw/cse_cic_ids2018/Thursday-01-03-2018_TrafficForML_CICFlowMeter.csv;data/raw/cse_cic_ids2018/Friday-02-03-2018_TrafficForML_CICFlowMeter.csv,19999,14999,5000,5217,1352,date,date_holdout,77,9da1a48fed54c5d628177a1a5fb29a15d511823a7fee4b0576395af29a9a0aa8,5b3144c75c06c812c0a441ee5552345d0a670d61a9f1c1aed71c1dc8147a877b,e83f0063d2ede8d890fde48d8b13f3f5b25c3ac866caacd0310503c117dc92d4,results/configs/tier_e_core4_hgb_mlp_timed/cse_cic_ids2018.yaml,0.1.0
CSE-CIC-IDS2018,cse_cic_ids2018_friday_holdout_sample,5,data/raw/cse_cic_ids2018/Wednesday-21-02-2018_TrafficForML_CICFlowMeter.csv;data/raw/cse_cic_ids2018/Wednesday-28-02-2018_TrafficForML_CICFlowMeter.csv;data/raw/cse_cic_ids2018/Thursday-01-03-2018_TrafficForML_CICFlowMeter.csv;data/raw/cse_cic_ids2018/Friday-02-03-2018_TrafficForML_CICFlowMeter.csv,20000,15000,5000,5092,1420,date,date_holdout,77,9da1a48fed54c5d628177a1a5fb29a15d511823a7fee4b0576395af29a9a0aa8,1ebc85545db8fe8c0918f2ba7c39177522c95dd453287d686c98d4e10f81d9d7,bda4383e56b18638e1ffbee51828898249dfe86618dfd7967f5a144718b5cfd3,results/configs/tier_e_core4_hgb_mlp_timed/cse_cic_ids2018.yaml,0.1.0
CSE-CIC-IDS2018,cse_cic_ids2018_friday_holdout_sample,6,data/raw/cse_cic_ids2018/Wednesday-21-02-2018_TrafficForML_CICFlowMeter.csv;data/raw/cse_cic_ids2018/Wednesday-28-02-2018_TrafficForML_CICFlowMeter.csv;data/raw/cse_cic_ids2018/Thursday-01-03-2018_TrafficForML_CICFlowMeter.csv;data/raw/cse_cic_ids2018/Friday-02-03-2018_TrafficForML_CICFlowMeter.csv,20000,15000,5000,5313,1322,date,date_holdout,77,9da1a48fed54c5d628177a1a5fb29a15d511823a7fee4b0576395af29a9a0aa8,2bb2a906cd366a543c7d7ec6ee776f12e09fb2f61013cde8ded226641db45a14,e710a938d577308388e5defc4a4a977e25be98448db92e982614d6ab56c72e9f,results/configs/tier_e_core4_hgb_mlp_timed/cse_cic_ids2018.yaml,0.1.0
CSE-CIC-IDS2018,cse_cic_ids2018_friday_holdout_sample,7,data/raw/cse_cic_ids2018/Wednesday-21-02-2018_TrafficForML_CICFlowMeter.csv;data/raw/cse_cic_ids2018/Wednesday-28-02-2018_TrafficForML_CICFlowMeter.csv;data/raw/cse_cic_ids2018/Thursday-01-03-2018_TrafficForML_CICFlowMeter.csv;data/raw/cse_cic_ids2018/Friday-02-03-2018_TrafficForML_CICFlowMeter.csv,19999,14999,5000,5272,1347,date,date_holdout,77,9da1a48fed54c5d628177a1a5fb29a15d511823a7fee4b0576395af29a9a0aa8,11b076f5827a6c34bf1db114f1ed167fde515c87a2aca6f3ae926f0e06c66679,7ab03877160b511eb6758bccd6ac51e8087d4a4717790d264b90521c01ba4b7e,results/configs/tier_e_core4_hgb_mlp_timed/cse_cic_ids2018.yaml,0.1.0
CSE-CIC-IDS2018,cse_cic_ids2018_friday_holdout_sample,8,data/raw/cse_cic_ids2018/Wednesday-21-02-2018_TrafficForML_CICFlowMeter.csv;data/raw/cse_cic_ids2018/Wednesday-28-02-2018_TrafficForML_CICFlowMeter.csv;data/raw/cse_cic_ids2018/Thursday-01-03-2018_TrafficForML_CICFlowMeter.csv;data/raw/cse_cic_ids2018/Friday-02-03-2018_TrafficForML_CICFlowMeter.csv,19997,14997,5000,5302,1313,date,date_holdout,77,9da1a48fed54c5d628177a1a5fb29a15d511823a7fee4b0576395af29a9a0aa8,1216860138d437b236256a8aab4df56b16ee3e78159640c0f7a5d7cebb99ef87,1534c855860ec73a29f83af8fec084672f110f1873acc6c9de976621ec4a94d1,results/configs/tier_e_core4_hgb_mlp_timed/cse_cic_ids2018.yaml,0.1.0
CSE-CIC-IDS2018,cse_cic_ids2018_friday_holdout_sample,9,data/raw/cse_cic_ids2018/Wednesday-21-02-2018_TrafficForML_CICFlowMeter.csv;data/raw/cse_cic_ids2018/Wednesday-28-02-2018_TrafficForML_CICFlowMeter.csv;data/raw/cse_cic_ids2018/Thursday-01-03-2018_TrafficForML_CICFlowMeter.csv;data/raw/cse_cic_ids2018/Friday-02-03-2018_TrafficForML_CICFlowMeter.csv,20000,15000,5000,5176,1363,date,date_holdout,77,9da1a48fed54c5d628177a1a5fb29a15d511823a7fee4b0576395af29a9a0aa8,8b60856afc2bba624a104df721f663bbe9b63dba06c769dfc2fad93fdcbf27c3,52525d9bd46eced84d79483f7c71fb132ada6b8501c5bf64c37395daf3419234,results/configs/tier_e_core4_hgb_mlp_timed/cse_cic_ids2018.yaml,0.1.0
