dataset,split_id,seed,raw_files,raw_rows,train_rows,test_rows,train_positive,test_positive,group_field,split_strategy,feature_count,feature_schema_sha256,dataset_config_sha256,preprocessing_state_sha256,config_path,software_version
UNSW-NB15,unsw_nb15_official_full,0,data/raw/unsw_nb15/temporal/train-00000-of-00001.parquet;data/raw/unsw_nb15/temporal/test-00000-of-00001.parquet,257673,175341,82332,119341,45332,split,split,194,f9eb7d7b147f12c8051c4bfa3cb28ea1e65dc177f0123a4b29d34af5c17d826e,da3e8e5e8ff8a6c0cf3008a54bc6cfe973ee9b9dcadb83327ca44093eaa95118,8f47a868529bc27cfe1f2d7304a0f3b476d0de8716464a992281aed7e8c34237,results/configs/tier_e_core4_hgb_mlp_timed/expanded.yaml,0.1.0
UNSW-NB15,unsw_nb15_official_full,1,data/raw/unsw_nb15/temporal/train-00000-of-00001.parquet;data/raw/unsw_nb15/temporal/test-00000-of-00001.parquet,257673,175341,82332,119341,45332,split,split,194,f9eb7d7b147f12c8051c4bfa3cb28ea1e65dc177f0123a4b29d34af5c17d826e,cd487584a71200c6d615859b9c28d30db9cb7799289d8e84b3f2f8c7e15645d7,8f47a868529bc27cfe1f2d7304a0f3b476d0de8716464a992281aed7e8c34237,results/configs/tier_e_core4_hgb_mlp_timed/expanded.yaml,0.1.0
UNSW-NB15,unsw_nb15_official_full,2,data/raw/unsw_nb15/temporal/train-00000-of-00001.parquet;data/raw/unsw_nb15/temporal/test-00000-of-00001.parquet,257673,175341,82332,119341,45332,split,split,194,f9eb7d7b147f12c8051c4bfa3cb28ea1e65dc177f0123a4b29d34af5c17d826e,057ceb9fc566abc5fb50fb9d13ab77ac9ab41520a75a3709c3026198c0f34d31,8f47a868529bc27cfe1f2d7304a0f3b476d0de8716464a992281aed7e8c34237,results/configs/tier_e_core4_hgb_mlp_timed/expanded.yaml,0.1.0
UNSW-NB15,unsw_nb15_official_full,3,data/raw/unsw_nb15/temporal/train-00000-of-00001.parquet;data/raw/unsw_nb15/temporal/test-00000-of-00001.parquet,257673,175341,82332,119341,45332,split,split,194,f9eb7d7b147f12c8051c4bfa3cb28ea1e65dc177f0123a4b29d34af5c17d826e,088b7855f8f34f266b00152a1f59b1bd532ab0a5b035c19361c540dbd0d2fe23,8f47a868529bc27cfe1f2d7304a0f3b476d0de8716464a992281aed7e8c34237,results/configs/tier_e_core4_hgb_mlp_timed/expanded.yaml,0.1.0
UNSW-NB15,unsw_nb15_official_full,4,data/raw/unsw_nb15/temporal/train-00000-of-00001.parquet;data/raw/unsw_nb15/temporal/test-00000-of-00001.parquet,257673,175341,82332,119341,45332,split,split,194,f9eb7d7b147f12c8051c4bfa3cb28ea1e65dc177f0123a4b29d34af5c17d826e,711c638de530a7e440842cb56b8845b6b653d4a96af1b97265d64e5fe7840698,8f47a868529bc27cfe1f2d7304a0f3b476d0de8716464a992281aed7e8c34237,results/configs/tier_e_core4_hgb_mlp_timed/expanded.yaml,0.1.0
UNSW-NB15,unsw_nb15_official_full,5,data/raw/unsw_nb15/temporal/train-00000-of-00001.parquet;data/raw/unsw_nb15/temporal/test-00000-of-00001.parquet,257673,175341,82332,119341,45332,split,split,194,f9eb7d7b147f12c8051c4bfa3cb28ea1e65dc177f0123a4b29d34af5c17d826e,39acfc9fc23e9c114184685258b331f546e631aabab0f49df0ba1c8ad5a69be2,8f47a868529bc27cfe1f2d7304a0f3b476d0de8716464a992281aed7e8c34237,results/configs/tier_e_core4_hgb_mlp_timed/expanded.yaml,0.1.0
UNSW-NB15,unsw_nb15_official_full,6,data/raw/unsw_nb15/temporal/train-00000-of-00001.parquet;data/raw/unsw_nb15/temporal/test-00000-of-00001.parquet,257673,175341,82332,119341,45332,split,split,194,f9eb7d7b147f12c8051c4bfa3cb28ea1e65dc177f0123a4b29d34af5c17d826e,139882b40ec4c4556fc4450ddfa5dca8f84e0fa3962f2b1ffbb19f05238ac8bc,8f47a868529bc27cfe1f2d7304a0f3b476d0de8716464a992281aed7e8c34237,results/configs/tier_e_core4_hgb_mlp_timed/expanded.yaml,0.1.0
UNSW-NB15,unsw_nb15_official_full,7,data/raw/unsw_nb15/temporal/train-00000-of-00001.parquet;data/raw/unsw_nb15/temporal/test-00000-of-00001.parquet,257673,175341,82332,119341,45332,split,split,194,f9eb7d7b147f12c8051c4bfa3cb28ea1e65dc177f0123a4b29d34af5c17d826e,3ce1444127800211fbfdbe3b99f7254b1896bafef803d649603cf8ee65597dd3,8f47a868529bc27cfe1f2d7304a0f3b476d0de8716464a992281aed7e8c34237,results/configs/tier_e_core4_hgb_mlp_timed/expanded.yaml,0.1.0
UNSW-NB15,unsw_nb15_official_full,8,data/raw/unsw_nb15/temporal/train-00000-of-00001.parquet;data/raw/unsw_nb15/temporal/test-00000-of-00001.parquet,257673,175341,82332,119341,45332,split,split,194,f9eb7d7b147f12c8051c4bfa3cb28ea1e65dc177f0123a4b29d34af5c17d826e,b9b344eb29660c7e8896032e14b82f1cddfd04a863c2a047d62fc1c7e799014b,8f47a868529bc27cfe1f2d7304a0f3b476d0de8716464a992281aed7e8c34237,results/configs/tier_e_core4_hgb_mlp_timed/expanded.yaml,0.1.0
UNSW-NB15,unsw_nb15_official_full,9,data/raw/unsw_nb15/temporal/train-00000-of-00001.parquet;data/raw/unsw_nb15/temporal/test-00000-of-00001.parquet,257673,175341,82332,119341,45332,split,split,194,f9eb7d7b147f12c8051c4bfa3cb28ea1e65dc177f0123a4b29d34af5c17d826e,66d367dbc6fee9d4bb8ba039d66cf7baa3df518eff09556933b7088dd02702a4,8f47a868529bc27cfe1f2d7304a0f3b476d0de8716464a992281aed7e8c34237,results/configs/tier_e_core4_hgb_mlp_timed/expanded.yaml,0.1.0
