dataset,split_id,seed,raw_files,raw_rows,train_rows,test_rows,train_positive,test_positive,group_field,split_strategy,feature_count,feature_schema_sha256,dataset_config_sha256,preprocessing_state_sha256,config_path,software_version
UNSW-NB15,unsw_nb15_official_full,0,data/raw/unsw_nb15/temporal/train-00000-of-00001.parquet;data/raw/unsw_nb15/temporal/test-00000-of-00001.parquet,257673,175341,82332,119341,45332,split,split,194,f9eb7d7b147f12c8051c4bfa3cb28ea1e65dc177f0123a4b29d34af5c17d826e,da3e8e5e8ff8a6c0cf3008a54bc6cfe973ee9b9dcadb83327ca44093eaa95118,8f47a868529bc27cfe1f2d7304a0f3b476d0de8716464a992281aed7e8c34237,configs/experiments/tier_p_expanded.yaml,0.1.0
UNSW-NB15,unsw_nb15_official_full,1,data/raw/unsw_nb15/temporal/train-00000-of-00001.parquet;data/raw/unsw_nb15/temporal/test-00000-of-00001.parquet,257673,175341,82332,119341,45332,split,split,194,f9eb7d7b147f12c8051c4bfa3cb28ea1e65dc177f0123a4b29d34af5c17d826e,cd487584a71200c6d615859b9c28d30db9cb7799289d8e84b3f2f8c7e15645d7,8f47a868529bc27cfe1f2d7304a0f3b476d0de8716464a992281aed7e8c34237,configs/experiments/tier_p_expanded.yaml,0.1.0
UNSW-NB15,unsw_nb15_official_full,2,data/raw/unsw_nb15/temporal/train-00000-of-00001.parquet;data/raw/unsw_nb15/temporal/test-00000-of-00001.parquet,257673,175341,82332,119341,45332,split,split,194,f9eb7d7b147f12c8051c4bfa3cb28ea1e65dc177f0123a4b29d34af5c17d826e,057ceb9fc566abc5fb50fb9d13ab77ac9ab41520a75a3709c3026198c0f34d31,8f47a868529bc27cfe1f2d7304a0f3b476d0de8716464a992281aed7e8c34237,configs/experiments/tier_p_expanded.yaml,0.1.0
UNSW-NB15,unsw_nb15_official_full,3,data/raw/unsw_nb15/temporal/train-00000-of-00001.parquet;data/raw/unsw_nb15/temporal/test-00000-of-00001.parquet,257673,175341,82332,119341,45332,split,split,194,f9eb7d7b147f12c8051c4bfa3cb28ea1e65dc177f0123a4b29d34af5c17d826e,088b7855f8f34f266b00152a1f59b1bd532ab0a5b035c19361c540dbd0d2fe23,8f47a868529bc27cfe1f2d7304a0f3b476d0de8716464a992281aed7e8c34237,configs/experiments/tier_p_expanded.yaml,0.1.0
UNSW-NB15,unsw_nb15_official_full,4,data/raw/unsw_nb15/temporal/train-00000-of-00001.parquet;data/raw/unsw_nb15/temporal/test-00000-of-00001.parquet,257673,175341,82332,119341,45332,split,split,194,f9eb7d7b147f12c8051c4bfa3cb28ea1e65dc177f0123a4b29d34af5c17d826e,711c638de530a7e440842cb56b8845b6b653d4a96af1b97265d64e5fe7840698,8f47a868529bc27cfe1f2d7304a0f3b476d0de8716464a992281aed7e8c34237,configs/experiments/tier_p_expanded.yaml,0.1.0
TON_IoT,ton_iot_attack_family_holdout_full,0,data/raw/ton_iot/train_test_network.csv,211043,175000,36043,140000,21043,attack_type,attack_type_holdout,47,812abfa0ae9e09c835d8fbd267132f5d2adfb2f8312446845dfa1ff55a2a01b3,c5aa2067c2ff4c98e0b32f8dc9e06cd05ffb71b4c57758565b3482ed3b088010,5d7ef13326a62fe67b086641ecbab539f8eed090359a55a029ee1a61dbda66ce,configs/experiments/tier_p_expanded.yaml,0.1.0
TON_IoT,ton_iot_attack_family_holdout_full,1,data/raw/ton_iot/train_test_network.csv,211043,175000,36043,140000,21043,attack_type,attack_type_holdout,47,812abfa0ae9e09c835d8fbd267132f5d2adfb2f8312446845dfa1ff55a2a01b3,650a4d0da39ddf0ee18e3a2a6490a6b704e9ba2417348529ed349cf970bebce1,4d0cbacdebde4e7676ad5505614b53275431520b78767fe691fab299c3d576ff,configs/experiments/tier_p_expanded.yaml,0.1.0
TON_IoT,ton_iot_attack_family_holdout_full,2,data/raw/ton_iot/train_test_network.csv,211043,175000,36043,140000,21043,attack_type,attack_type_holdout,47,812abfa0ae9e09c835d8fbd267132f5d2adfb2f8312446845dfa1ff55a2a01b3,7613994ee1c25f2a17c22e1f684e0ef5503cc612d684a71dc5065f765aad2621,c7151b8a1ef4edcc221d9f41023c60ab82d07852fcdbcf57c2c0ca3bbe8ed8ee,configs/experiments/tier_p_expanded.yaml,0.1.0
TON_IoT,ton_iot_attack_family_holdout_full,3,data/raw/ton_iot/train_test_network.csv,211043,175000,36043,140000,21043,attack_type,attack_type_holdout,47,812abfa0ae9e09c835d8fbd267132f5d2adfb2f8312446845dfa1ff55a2a01b3,8c8aaefd701f1028b5e1fbd7867405332b162232804eccfa58662d61a95f8a9a,d303b92a26705759f970055ffa3d6af303caa89273be58a0b9a2ee2acf07655d,configs/experiments/tier_p_expanded.yaml,0.1.0
TON_IoT,ton_iot_attack_family_holdout_full,4,data/raw/ton_iot/train_test_network.csv,211043,175000,36043,140000,21043,attack_type,attack_type_holdout,47,812abfa0ae9e09c835d8fbd267132f5d2adfb2f8312446845dfa1ff55a2a01b3,8554a7e62b1951de207d6d173aafab58b327e71a9677eafccec18cfb7cd49f15,1cb8df7b674e28ccf3999788420ff577268c32424e356c096d0fbd1193ec0a8c,configs/experiments/tier_p_expanded.yaml,0.1.0
