dataset,split_id,seed,raw_files,raw_rows,train_rows,test_rows,train_positive,test_positive,group_field,split_strategy,feature_count,feature_schema_sha256,dataset_config_sha256,preprocessing_state_sha256,config_path,software_version
CICIDS2017,cicids2017_random_control_sample,0,data/raw/cicids2017/machine_learning/Monday-WorkingHours.pcap_ISCX.csv.parquet;data/raw/cicids2017/machine_learning/Tuesday-WorkingHours.pcap_ISCX.csv.parquet;data/raw/cicids2017/machine_learning/Wednesday-workingHours.pcap_ISCX.csv.parquet;data/raw/cicids2017/machine_learning/Thursday-WorkingHours-Morning-WebAttacks.pcap_ISCX.csv.parquet;data/raw/cicids2017/machine_learning/Thursday-WorkingHours-Afternoon-Infilteration.pcap_ISCX.csv.parquet;data/raw/cicids2017/machine_learning/Friday-WorkingHours-Morning.pcap_ISCX.csv.parquet;data/raw/cicids2017/machine_learning/Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv.parquet;data/raw/cicids2017/machine_learning/Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv.parquet,240000,168000,72000,32360,13869,stratified_random,stratified_random,77,83c13f3e2bc16ce50ca7add6bb12ab7f678678e366498bfd6c6e20856b84bd9e,6f2c5e05b1261756c3c2ccc863e69a291e06f27bcda5a7f861bad06cc5f2d9f2,482a8a96b11aeef71da9e01fb97a71b0b667f5974fc06c753b7df170d6128887,configs/experiments/tier_p_cicids2017_random_control.yaml,0.1.0
CICIDS2017,cicids2017_random_control_sample,1,data/raw/cicids2017/machine_learning/Monday-WorkingHours.pcap_ISCX.csv.parquet;data/raw/cicids2017/machine_learning/Tuesday-WorkingHours.pcap_ISCX.csv.parquet;data/raw/cicids2017/machine_learning/Wednesday-workingHours.pcap_ISCX.csv.parquet;data/raw/cicids2017/machine_learning/Thursday-WorkingHours-Morning-WebAttacks.pcap_ISCX.csv.parquet;data/raw/cicids2017/machine_learning/Thursday-WorkingHours-Afternoon-Infilteration.pcap_ISCX.csv.parquet;data/raw/cicids2017/machine_learning/Friday-WorkingHours-Morning.pcap_ISCX.csv.parquet;data/raw/cicids2017/machine_learning/Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv.parquet;data/raw/cicids2017/machine_learning/Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv.parquet,240000,168000,72000,32360,13869,stratified_random,stratified_random,77,83c13f3e2bc16ce50ca7add6bb12ab7f678678e366498bfd6c6e20856b84bd9e,8d304fb26f9913ef4fc533dbfc45fe102e71703bb0c7e5ee1a3a11cb7e60c108,8c91cab87c33c6160918e8aa41204796df8197a8e81f81ddef81b49395b6baf7,configs/experiments/tier_p_cicids2017_random_control.yaml,0.1.0
CICIDS2017,cicids2017_random_control_sample,2,data/raw/cicids2017/machine_learning/Monday-WorkingHours.pcap_ISCX.csv.parquet;data/raw/cicids2017/machine_learning/Tuesday-WorkingHours.pcap_ISCX.csv.parquet;data/raw/cicids2017/machine_learning/Wednesday-workingHours.pcap_ISCX.csv.parquet;data/raw/cicids2017/machine_learning/Thursday-WorkingHours-Morning-WebAttacks.pcap_ISCX.csv.parquet;data/raw/cicids2017/machine_learning/Thursday-WorkingHours-Afternoon-Infilteration.pcap_ISCX.csv.parquet;data/raw/cicids2017/machine_learning/Friday-WorkingHours-Morning.pcap_ISCX.csv.parquet;data/raw/cicids2017/machine_learning/Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv.parquet;data/raw/cicids2017/machine_learning/Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv.parquet,240000,168000,72000,32360,13869,stratified_random,stratified_random,77,83c13f3e2bc16ce50ca7add6bb12ab7f678678e366498bfd6c6e20856b84bd9e,1bbd012d5854a4138439badc4e42d0e566d79cdc13db2eb60f3da42e1c21e483,bf690f13f6f2f676be12d505140736c69987bcc942960e8fd3aa1cac649246d3,configs/experiments/tier_p_cicids2017_random_control.yaml,0.1.0
CICIDS2017,cicids2017_random_control_sample,3,data/raw/cicids2017/machine_learning/Monday-WorkingHours.pcap_ISCX.csv.parquet;data/raw/cicids2017/machine_learning/Tuesday-WorkingHours.pcap_ISCX.csv.parquet;data/raw/cicids2017/machine_learning/Wednesday-workingHours.pcap_ISCX.csv.parquet;data/raw/cicids2017/machine_learning/Thursday-WorkingHours-Morning-WebAttacks.pcap_ISCX.csv.parquet;data/raw/cicids2017/machine_learning/Thursday-WorkingHours-Afternoon-Infilteration.pcap_ISCX.csv.parquet;data/raw/cicids2017/machine_learning/Friday-WorkingHours-Morning.pcap_ISCX.csv.parquet;data/raw/cicids2017/machine_learning/Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv.parquet;data/raw/cicids2017/machine_learning/Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv.parquet,240000,168000,72000,32360,13869,stratified_random,stratified_random,77,83c13f3e2bc16ce50ca7add6bb12ab7f678678e366498bfd6c6e20856b84bd9e,f17bead7e618f4be9dbda5b3db099110a460820c16a106b27f267b5ffe2c8801,d56b6df1b0ae362486a5f917ac72a8ce56230b8e998dcc6dfbec964031df42d5,configs/experiments/tier_p_cicids2017_random_control.yaml,0.1.0
CICIDS2017,cicids2017_random_control_sample,4,data/raw/cicids2017/machine_learning/Monday-WorkingHours.pcap_ISCX.csv.parquet;data/raw/cicids2017/machine_learning/Tuesday-WorkingHours.pcap_ISCX.csv.parquet;data/raw/cicids2017/machine_learning/Wednesday-workingHours.pcap_ISCX.csv.parquet;data/raw/cicids2017/machine_learning/Thursday-WorkingHours-Morning-WebAttacks.pcap_ISCX.csv.parquet;data/raw/cicids2017/machine_learning/Thursday-WorkingHours-Afternoon-Infilteration.pcap_ISCX.csv.parquet;data/raw/cicids2017/machine_learning/Friday-WorkingHours-Morning.pcap_ISCX.csv.parquet;data/raw/cicids2017/machine_learning/Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv.parquet;data/raw/cicids2017/machine_learning/Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv.parquet,240000,168000,72000,32360,13869,stratified_random,stratified_random,77,83c13f3e2bc16ce50ca7add6bb12ab7f678678e366498bfd6c6e20856b84bd9e,96c01cc52c6c08d4f27bd62b3f3be152ff955ff30203f1d49cfbdd1e4edd5704,8e25575f2aa2233987de5fcffc5971b7dd7f942c7941b7d7f2222bbcf0c36e5a,configs/experiments/tier_p_cicids2017_random_control.yaml,0.1.0
CSE-CIC-IDS2018,cse_cic_ids2018_random_control_sample,0,data/raw/cse_cic_ids2018/Wednesday-21-02-2018_TrafficForML_CICFlowMeter.csv;data/raw/cse_cic_ids2018/Wednesday-28-02-2018_TrafficForML_CICFlowMeter.csv;data/raw/cse_cic_ids2018/Thursday-01-03-2018_TrafficForML_CICFlowMeter.csv;data/raw/cse_cic_ids2018/Friday-02-03-2018_TrafficForML_CICFlowMeter.csv,20000,14000,6000,4642,1989,stratified_random,stratified_random,77,9da1a48fed54c5d628177a1a5fb29a15d511823a7fee4b0576395af29a9a0aa8,edd8cbcf6e1bcbcc07e8350f095f2d9b0740a2e287dcf6ecb436dbb7bfa5dafd,6de6c32d5e27282a1420b88a8baf9eb0b2ebed919d786e54ec0f086163e8eb1e,configs/experiments/tier_p_cse_cic_ids2018_random_control.yaml,0.1.0
CSE-CIC-IDS2018,cse_cic_ids2018_random_control_sample,1,data/raw/cse_cic_ids2018/Wednesday-21-02-2018_TrafficForML_CICFlowMeter.csv;data/raw/cse_cic_ids2018/Wednesday-28-02-2018_TrafficForML_CICFlowMeter.csv;data/raw/cse_cic_ids2018/Thursday-01-03-2018_TrafficForML_CICFlowMeter.csv;data/raw/cse_cic_ids2018/Friday-02-03-2018_TrafficForML_CICFlowMeter.csv,20000,14000,6000,4593,1968,stratified_random,stratified_random,77,9da1a48fed54c5d628177a1a5fb29a15d511823a7fee4b0576395af29a9a0aa8,42b7b573026501022c0e53f88fc54ae9eefef4742b157fe2017e734c0d278acb,3bfcc6cf8e52f528f8736d24ed07fff10665370ad79fd5bc6c5a4429a316ad88,configs/experiments/tier_p_cse_cic_ids2018_random_control.yaml,0.1.0
CSE-CIC-IDS2018,cse_cic_ids2018_random_control_sample,2,data/raw/cse_cic_ids2018/Wednesday-21-02-2018_TrafficForML_CICFlowMeter.csv;data/raw/cse_cic_ids2018/Wednesday-28-02-2018_TrafficForML_CICFlowMeter.csv;data/raw/cse_cic_ids2018/Thursday-01-03-2018_TrafficForML_CICFlowMeter.csv;data/raw/cse_cic_ids2018/Friday-02-03-2018_TrafficForML_CICFlowMeter.csv,20000,14000,6000,4647,1991,stratified_random,stratified_random,77,9da1a48fed54c5d628177a1a5fb29a15d511823a7fee4b0576395af29a9a0aa8,7b0166b7a94f6085714b4c5e3351fbabbfb13346cbb3c2bbbb7a0ca7cb8c989d,60694f5efaf6985852569688163379d76b5632219681ff4b2690e4525722ff7c,configs/experiments/tier_p_cse_cic_ids2018_random_control.yaml,0.1.0
CSE-CIC-IDS2018,cse_cic_ids2018_random_control_sample,3,data/raw/cse_cic_ids2018/Wednesday-21-02-2018_TrafficForML_CICFlowMeter.csv;data/raw/cse_cic_ids2018/Wednesday-28-02-2018_TrafficForML_CICFlowMeter.csv;data/raw/cse_cic_ids2018/Thursday-01-03-2018_TrafficForML_CICFlowMeter.csv;data/raw/cse_cic_ids2018/Friday-02-03-2018_TrafficForML_CICFlowMeter.csv,20000,14000,6000,4672,2002,stratified_random,stratified_random,77,9da1a48fed54c5d628177a1a5fb29a15d511823a7fee4b0576395af29a9a0aa8,e52010cd8088074545344617e767b2a622962838f82f7570c4e9b680c9731ad4,219fd608e8fbc972a6f16bf82ebbeb226b9cbbb744f0b716e4eebc111d92b981,configs/experiments/tier_p_cse_cic_ids2018_random_control.yaml,0.1.0
CSE-CIC-IDS2018,cse_cic_ids2018_random_control_sample,4,data/raw/cse_cic_ids2018/Wednesday-21-02-2018_TrafficForML_CICFlowMeter.csv;data/raw/cse_cic_ids2018/Wednesday-28-02-2018_TrafficForML_CICFlowMeter.csv;data/raw/cse_cic_ids2018/Thursday-01-03-2018_TrafficForML_CICFlowMeter.csv;data/raw/cse_cic_ids2018/Friday-02-03-2018_TrafficForML_CICFlowMeter.csv,19999,13999,6000,4598,1971,stratified_random,stratified_random,77,9da1a48fed54c5d628177a1a5fb29a15d511823a7fee4b0576395af29a9a0aa8,1d6f2be441dde48182dcce441710f61e82788a45b5c128ceeb40346895deaad6,6897182832b400d39edd4de5dca21872be1f698e3b2f6c947eb25fd7bf01fe57,configs/experiments/tier_p_cse_cic_ids2018_random_control.yaml,0.1.0
