dataset,model_id,n_pairs,mean_robust_drop,std_robust_drop,ci_low,ci_high,mean_asr,mean_validity_rate,mean_valid_count,mean_invalid_count,wilcoxon_p,holm_p
CICIDS2017,extra_trees,5,0.016949802045405683,0.019521168245019226,-0.0001612563594550337,0.0340608604502664,0.9021222093309538,0.9935377777777779,89418.4,581.6,0.125,1.0
CICIDS2017,logistic_regression,5,0.06125458114086017,0.029325632016696093,0.0355495313252493,0.08695963095647105,0.6570214764771614,0.9935377777777779,89418.4,581.6,0.0625,1.0
CICIDS2017,mlp_sklearn,5,0.0067005635410433365,0.005206368019251452,0.002136980760727882,0.011264146321358791,0.6959940287621255,0.9935377777777779,89418.4,581.6,0.0625,1.0
CICIDS2017,random_forest,5,0.07573309974605381,0.05224074612105743,0.02994206681343261,0.12152413267867501,0.9054969841605944,0.9935377777777779,89418.4,581.6,0.0625,1.0
CSE-CIC-IDS2018,extra_trees,5,0.061829940699547906,0.028170708661865353,0.03713722583897687,0.08652265556011894,0.822978479699888,0.99796,4989.8,10.2,0.0625,1.0
CSE-CIC-IDS2018,logistic_regression,5,0.08151955221941076,0.045794832268037815,0.04137861189535366,0.12166049254346786,0.6657573355687189,0.99796,4989.8,10.2,0.0625,1.0
CSE-CIC-IDS2018,mlp_sklearn,5,0.01945066082936995,0.04233196292204294,-0.017654940682787994,0.05655626234152789,0.48249347091456124,0.99796,4989.8,10.2,0.0625,1.0
CSE-CIC-IDS2018,random_forest,5,0.07151052854392838,0.05102603838435931,0.026784233887551523,0.11623682320030523,0.971460979938945,0.99796,4989.8,10.2,0.0625,1.0
TON_IoT,extra_trees,5,0.11729437592366154,0.019098360051077283,0.10055392524113528,0.13403482660618782,0.2740304182509506,0.9999001193019449,36039.4,3.6,0.0625,1.0
TON_IoT,logistic_regression,5,0.004417513606561951,0.0008702347147742063,0.0036547192469447674,0.005180307966179135,0.22234790874524707,0.9999001193019449,36039.4,3.6,0.0625,1.0
TON_IoT,mlp_sklearn,5,0.04268626442604715,0.03518563576208017,0.011844694854988073,0.07352783399710623,0.1739543726235741,0.9999001193019449,36039.4,3.6,0.0625,1.0
TON_IoT,random_forest,5,0.14928399106696102,0.03258826644920697,0.12071911607963445,0.1778488660542876,0.295361216730038,0.9999001193019449,36039.4,3.6,0.0625,1.0
UNSW-NB15,extra_trees,5,0.00211273968477117,0.000602097044168934,0.0015849783562043055,0.0026405010133380346,0.02434717347637018,0.9991254919108,82260.0,72.0,0.0625,1.0
UNSW-NB15,logistic_regression,5,0.01264690413582945,0.00028258463019060543,0.01239920778636834,0.01289460048529056,0.09594508089971962,0.9991254919108,82260.0,72.0,0.0625,1.0
UNSW-NB15,mlp_sklearn,5,0.005285374836029533,0.0009599184390670852,0.004443969226046612,0.006126780446012454,0.03286758051343172,0.9991254919108,82260.0,72.0,0.0625,1.0
UNSW-NB15,random_forest,5,0.0014923051188403314,0.00047769772954106316,0.0010735845972274897,0.0019110256404531731,0.01760589806414582,0.9991254919108,82260.0,72.0,0.0625,1.0
