dataset,split_id,model_id,threat_id,hardware_id,n_runs,clean_macro_f1,clean_macro_f1_std,clean_macro_f1_ci_low,clean_macro_f1_ci_high,clean_bal_acc,clean_bal_acc_std,clean_bal_acc_ci_low,clean_bal_acc_ci_high,robust_utility,robust_utility_std,robust_utility_ci_low,robust_utility_ci_high,asr,asr_std,asr_ci_low,asr_ci_high,validity_rate,validity_rate_std,validity_rate_ci_low,validity_rate_ci_high,valid_count,valid_count_std,valid_count_ci_low,valid_count_ci_high,invalid_count,invalid_count_std,invalid_count_ci_low,invalid_count_ci_high,budget_pass_rate,budget_pass_rate_std,budget_pass_rate_ci_low,budget_pass_rate_ci_high,bounds_pass_rate,bounds_pass_rate_std,bounds_pass_rate_ci_low,bounds_pass_rate_ci_high,immutable_pass_rate,immutable_pass_rate_std,immutable_pass_rate_ci_low,immutable_pass_rate_ci_high,relation_pass_rate,relation_pass_rate_std,relation_pass_rate_ci_low,relation_pass_rate_ci_high,p95_latency_ms,p95_latency_ms_std,p95_latency_ms_ci_low,p95_latency_ms_ci_high,throughput_fps,throughput_fps_std,throughput_fps_ci_low,throughput_fps_ci_high,peak_mem_mb,peak_mem_mb_std,peak_mem_mb_ci_low,peak_mem_mb_ci_high,energy_per_flow_j,energy_per_flow_j_std,energy_per_flow_j_ci_low,energy_per_flow_j_ci_high,service_cost,service_cost_std,service_cost_ci_low,service_cost_ci_high,raise_score,raise_score_std,raise_score_ci_low,raise_score_ci_high,thread_count,thread_count_std,thread_count_ci_low,thread_count_ci_high,batch_size,batch_size_std,batch_size_ci_low,batch_size_ci_high,shift_utility_drop,shift_utility_drop_std,shift_utility_drop_ci_low,shift_utility_drop_ci_high
CICIDS2017,cicids2017_random_control_sample,extra_trees,a0_clean,jetson_orin_nx_super_ina3221_20260608t140153z,10,0.9941933343578292,0.0005956743639805584,0.9938241315619748,0.9945625371536836,0.9944239872816963,0.000660644567649057,0.9940145155364091,0.9948334590269836,0.9943086608197627,0.0006201136940446627,0.9939243103702,0.9946930112693253,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,72000.0,0.0,72000.0,72000.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.00631341857223656,0.00012073418259567851,0.0062385867505821225,0.006388250393890997,158445.10455935707,3039.826716318795,156561.0004406607,160329.20867805346,23.909358406066893,0.0008402064010048259,23.908837640744256,23.90987917138953,7.885391547583102e-05,0.0,7.885391547583102e-05,7.885391547583102e-05,0.09006182426853457,0.011925458074430927,0.08267034877594925,0.09745329976111988,0.9899131213082686,0.0008510538293532719,0.9893856326798843,0.9904406099366528,8.0,0.0,8.0,8.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
CICIDS2017,cicids2017_random_control_sample,hist_gradient_boosting,a0_clean,jetson_orin_nx_super_ina3221_20260608t140153z,10,0.9966717115018803,0.0003307606817959605,0.9964667039073588,0.9968767190964017,0.9980909879854594,0.00032414890071317116,0.9978900784153099,0.9982918975556089,0.9973813497436697,0.00032286214595124305,0.9971812377123843,0.997581461774955,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,72000.0,0.0,72000.0,72000.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0010549329945731302,2.143389052777844e-05,0.0010416481315885784,0.001068217857557682,948279.0836747733,19230.20340872615,936360.0801173513,960198.0872321954,1.6490278244018555,0.00022578842262904506,1.6488878792876338,1.6491677695160771,7.885391547583102e-05,0.0,7.885391547583102e-05,7.885391547583102e-05,0.01854871838339659,0.005550366584037795,0.015108565533524822,0.02198887123326836,0.9963127649982372,0.00042883078283046603,0.9960469729253478,0.9965785570711265,8.0,0.0,8.0,8.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
CICIDS2017,cicids2017_random_control_sample,logistic_regression,a0_clean,jetson_orin_nx_super_ina3221_20260608t140153z,10,0.9389859558098621,0.0008653243524611585,0.9384496222196189,0.9395222894001053,0.9602278406942559,0.0023722784325646193,0.9587574872884203,0.9616981941000916,0.9496068982520592,0.0014911155023264312,0.9486826952886787,0.9505311012154398,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,72000.0,0.0,72000.0,72000.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.00014239794043931998,9.802991032312578e-07,0.00014179034476025144,0.0001430055361183885,7022872.656498368,48287.582512540204,6992943.702783551,7052801.610213185,1.6495535850524903,0.00039849997672972577,1.6493065922079881,1.6498005778969924,7.885391547583102e-05,0.0,7.885391547583102e-05,7.885391547583102e-05,0.4378181667620396,0.05841955339634175,0.40160935243207563,0.4740269810920036,0.9401547807725146,0.0026175489837199917,0.9385324071040942,0.9417771544409349,8.0,0.0,8.0,8.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
CICIDS2017,cicids2017_random_control_sample,mlp_sklearn,a0_clean,jetson_orin_nx_super_ina3221_20260608t140153z,10,0.9834609543522207,0.0014843395028524158,0.9825409511968255,0.9843809575076159,0.9840612022091436,0.0036050551140853074,0.9818267658999579,0.9862956385183294,0.983761078280682,0.0024554174869733133,0.9822391947550553,0.9852829618063088,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,72000.0,0.0,72000.0,72000.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0004594803975891099,1.3561634561412313e-05,0.0004510748094033613,0.0004678859857748585,2177989.8964890405,60954.59461651895,2140209.8473323146,2215769.9456457663,35.70709705352783,3.6414877113412446e-05,35.70707448335316,35.7071196237025,7.885391547583102e-05,0.0,7.885391547583102e-05,7.885391547583102e-05,0.2578996591767809,0.08228515967600562,0.20689878882424412,0.30890052952931774,0.9750815178900604,0.004067237737719981,0.9725606178228896,0.9776024179572311,8.0,0.0,8.0,8.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
CICIDS2017,cicids2017_random_control_sample,random_forest,a0_clean,jetson_orin_nx_super_ina3221_20260608t140153z,10,0.9961240463740566,0.0004556436182136,0.995841635533621,0.9964064572144922,0.9958367605820732,0.0005589651119266945,0.9954903104163664,0.9961832107477799,0.9959804034780648,0.0005030173649389687,0.9956686300852035,0.9962921768709262,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,72000.0,0.0,72000.0,72000.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.00464714009297795,0.0001132407647153054,0.00457695273984395,0.004717327446111951,215299.76209162883,5183.5210389591275,212086.98246625625,218512.5417170014,23.90909366607666,0.00035064529512233175,23.908876333871113,23.90931099828221,7.885391547583102e-05,0.0,7.885391547583102e-05,7.885391547583102e-05,0.07146729648672964,0.010390036244166153,0.06502748530408943,0.07790710766936985,0.9919602486021677,0.0007072140597261003,0.99152191278665,0.9923985844176854,8.0,0.0,8.0,8.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
CSE-CIC-IDS2018,cse_cic_ids2018_random_control_sample,extra_trees,a0_clean,jetson_orin_nx_super_ina3221_20260608t140153z,10,0.8490434846292512,0.006700633636084659,0.844890388874204,0.8531965803842984,0.8418125580228581,0.005750777463796734,0.8382481892227948,0.8453769268229215,0.8454280213260548,0.00613312744385031,0.8416266695531347,0.8492293730989748,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,6000.0,0.0,6000.0,6000.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.01251420792041845,0.0003713057103230796,0.012284070256860315,0.012744345583976583,79973.98025079494,2427.8888943917223,78469.15912362219,81478.80137796768,2.0053329467773438,0.0010993061938087574,2.004651589739344,2.0060143038153435,7.885391547583102e-05,0.0,7.885391547583102e-05,7.885391547583102e-05,2.4706283170138983,0.10144108757451566,2.4077544795421235,2.533502154485673,0.795262518667127,0.0073698538373017245,0.7906946359340395,0.7998304014002146,8.0,0.0,8.0,8.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
CSE-CIC-IDS2018,cse_cic_ids2018_random_control_sample,hist_gradient_boosting,a0_clean,jetson_orin_nx_super_ina3221_20260608t140153z,10,0.8762349938890963,0.0058435007740526325,0.8726131545859235,0.8798568331922691,0.8598175624750424,0.005224898075070013,0.8565791370969901,0.8630559878530947,0.8680262781820695,0.005464492235612024,0.8646393508047849,0.871413205559354,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,6000.0,0.0,6000.0,6000.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0016045201131297399,0.00018064228355314652,0.001492556865808404,0.0017164833604510757,630125.3299639155,68205.83620947324,587850.9147048047,672399.7452230264,0.1385144233703613,0.00031924545887182916,0.138316552984952,0.1387122937557706,7.885391547583102e-05,0.0,7.885391547583102e-05,7.885391547583102e-05,2.497037607015801,0.09456564157125316,2.4384252151267893,2.5556499989048125,0.8175205734466328,0.006856237574882784,0.8132710333711244,0.8217701135221411,8.0,0.0,8.0,8.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
CSE-CIC-IDS2018,cse_cic_ids2018_random_control_sample,logistic_regression,a0_clean,jetson_orin_nx_super_ina3221_20260608t140153z,10,0.813923765732951,0.00717346317356529,0.809477607194349,0.818369924271553,0.8183922120802466,0.006187084051759792,0.8145574176552677,0.8222270065052255,0.8161579889065986,0.0066275828255812925,0.8120501705129893,0.8202658073002079,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,6000.0,0.0,6000.0,6000.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.00082902351971518,0.00027926272942910854,0.000655934686759282,0.001002112352671078,1332852.9952323912,423094.5945111848,1070616.2486976904,1595089.741767092,0.1389029502868652,0.0002718304730821533,0.13873446801411857,0.13907143255961182,7.885391547583102e-05,0.0,7.885391547583102e-05,7.885391547583102e-05,2.389482321933863,0.07910868766032947,2.340450249334017,2.4385143945337084,0.7678049721986465,0.007640888623285752,0.7630691003647853,0.7725408440325078,8.0,0.0,8.0,8.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
CSE-CIC-IDS2018,cse_cic_ids2018_random_control_sample,mlp_sklearn,a0_clean,jetson_orin_nx_super_ina3221_20260608t140153z,10,0.8703037475289064,0.004235367679407093,0.8676786394442495,0.8729288556135633,0.8514299230522979,0.005897198269750345,0.847774801696479,0.8550850444081168,0.860866835290602,0.004921693639577903,0.8578163379686625,0.8639173326125416,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,6000.0,0.0,6000.0,6000.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.00101734689820049,1.3939032924598806e-05,0.0010087073960858152,0.001025986400315165,983114.6148536565,13440.57212907752,974784.0619408585,991445.1677664545,2.994066047668457,5.455483903451398e-05,2.9940322342289054,2.9940998611080083,7.885391547583102e-05,0.0,7.885391547583102e-05,7.885391547583102e-05,2.708308953044368,0.1753721708608699,2.59961215541117,2.817005750677566,0.8058846372640375,0.008107571946085848,0.8008595121099477,0.8109097624181273,8.0,0.0,8.0,8.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
CSE-CIC-IDS2018,cse_cic_ids2018_random_control_sample,random_forest,a0_clean,jetson_orin_nx_super_ina3221_20260608t140153z,10,0.862541600554143,0.005271739142736581,0.859274142781566,0.86580905832672,0.848756471491064,0.004480121701636097,0.8459796632917679,0.8515332796903602,0.8556490360226034,0.004769482618326378,0.8526928800690424,0.8586051919761645,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,6000.0,0.0,6000.0,6000.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.00845478220343157,0.00025292870989472127,0.008298015364884174,0.008611549041978965,118374.35293058457,3644.7729826087357,116115.29923144395,120633.4066297252,2.004952144622803,0.000300019483017913,2.0047661906206855,2.0051380986249203,7.885391547583102e-05,0.0,7.885391547583102e-05,7.885391547583102e-05,2.58507820006329,0.0929380973195902,2.5274745705525605,2.6426818295740198,0.8032030249770663,0.0058356841049113616,0.7995860304956212,0.8068200194585115,8.0,0.0,8.0,8.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
