dataset,split_id,seed,model_id,threat_id,hardware_id,clean_macro_f1,clean_bal_acc,robust_utility,asr,validity_rate,p95_latency_ms,throughput_fps,peak_mem_mb,energy_per_flow_j,service_cost,raise_score,valid_count,invalid_count,budget_pass_rate,bounds_pass_rate,immutable_pass_rate,relation_pass_rate,thread_count,batch_size,runtime,measurement_mode,energy_source,config_path,preprocessing_state_sha256,shift_group_field,source_split,target_split,shift_utility_drop
CICIDS2017,cicids2017_random_control_sample,0,extra_trees,a0_clean,cpu_proxy,0.9938392541694948,0.9939477028271227,0.9938934784983088,0.0,1.0,0.002303813984041,434062.8223142916,23.91559219360352,0.0,0.0990611160848847,0.9898751013254288,72000,0,1.0,1.0,1.0,1.0,1,1,python_sklearn_cpu,proxy,proxy,configs/experiments/tier_p_cicids2017_random_control.yaml,f9ae82a090e57bde1ff7c28c49d38b7e20ed0b35d3e7bd03432cce37fc1f5ab4,,,,0.0
CICIDS2017,cicids2017_random_control_sample,1,extra_trees,a0_clean,cpu_proxy,0.9950016200044608,0.9952733801101366,0.9951375000572988,0.0,1.0,0.0023516437076396,425234.48460807966,23.915133476257324,0.0,0.0756440249841395,0.991587402288778,72000,0,1.0,1.0,1.0,1.0,1,1,python_sklearn_cpu,proxy,proxy,configs/experiments/tier_p_cicids2017_random_control.yaml,8ca2ab8aefef6b947b0888389d38fedec4a4fa6646d901489a3b6af668e6d684,,,,0.0
CICIDS2017,cicids2017_random_control_sample,2,extra_trees,a0_clean,cpu_proxy,0.9951788113161888,0.9953147398481964,0.9952467755821928,0.0,1.0,0.0022878378610938,437093.9116821303,23.91506004333496,0.0,0.0762102347747297,0.9916854926023316,72000,0,1.0,1.0,1.0,1.0,1,1,python_sklearn_cpu,proxy,proxy,configs/experiments/tier_p_cicids2017_random_control.yaml,c91f816902e43ec383afa82737bf4ebbb7d25458ce9b06a289da8b73cf923395,,,,0.0
CICIDS2017,cicids2017_random_control_sample,3,extra_trees,a0_clean,cpu_proxy,0.9943768225050184,0.9946482396698249,0.9945125310874215,0.0,1.0,0.0021943790729235,455709.7779226008,23.91506004333496,0.0,0.0859793155987018,0.9907560613241266,72000,0,1.0,1.0,1.0,1.0,1,1,python_sklearn_cpu,proxy,proxy,configs/experiments/tier_p_cicids2017_random_control.yaml,3fa544ebea348b1cdcd24f4062abf190d6e478c7884c01cdb24372ac14f1b2ba,,,,0.0
CICIDS2017,cicids2017_random_control_sample,4,extra_trees,a0_clean,cpu_proxy,0.994490659334994,0.9949657496157814,0.9947282044753878,0.0,1.0,0.0023345455895928,428348.8848784431,23.91506004333496,0.0,0.0788550030396895,0.9911139287595532,72000,0,1.0,1.0,1.0,1.0,1,1,python_sklearn_cpu,proxy,proxy,configs/experiments/tier_p_cicids2017_random_control.yaml,e0e40221bf96100fed7f86ebe2f0f2b875615da5a67ec4fa1b5bc12e1aca5189,,,,0.0
CICIDS2017,cicids2017_random_control_sample,0,logistic_regression,a0_clean,cpu_proxy,0.9386318231280456,0.9579091992664288,0.9482705111972372,0.0,1.0,5.805621875272967e-05,17224683.61673972,1.649251937866211,0.0,0.4962516858279467,0.9381992237315506,72000,0,1.0,1.0,1.0,1.0,1,1,python_sklearn_cpu,proxy,proxy,configs/experiments/tier_p_cicids2017_random_control.yaml,f9ae82a090e57bde1ff7c28c49d38b7e20ed0b35d3e7bd03432cce37fc1f5ab4,,,,0.0
CICIDS2017,cicids2017_random_control_sample,1,logistic_regression,a0_clean,cpu_proxy,0.9378539936143118,0.9588500077210428,0.9483520006676772,0.0,1.0,5.216047849090602e-05,19171603.269980475,1.649251937866211,0.0,0.462572534849933,0.9389543085150563,72000,0,1.0,1.0,1.0,1.0,1,1,python_sklearn_cpu,proxy,proxy,configs/experiments/tier_p_cicids2017_random_control.yaml,8ca2ab8aefef6b947b0888389d38fedec4a4fa6646d901489a3b6af668e6d684,,,,0.0
CICIDS2017,cicids2017_random_control_sample,2,logistic_regression,a0_clean,cpu_proxy,0.9389184974539908,0.957772315836445,0.9483454066452178,0.0,1.0,6.0412354842911656e-05,16552905.487631934,1.6491641998291016,0.0,0.503014745355014,0.9381388608252544,72000,0,1.0,1.0,1.0,1.0,1,1,python_sklearn_cpu,proxy,proxy,configs/experiments/tier_p_cicids2017_random_control.yaml,c91f816902e43ec383afa82737bf4ebbb7d25458ce9b06a289da8b73cf923395,,,,0.0
CICIDS2017,cicids2017_random_control_sample,3,logistic_regression,a0_clean,cpu_proxy,0.9388411449792228,0.9611069823933996,0.9499740636863112,0.0,1.0,7.057337639050981e-05,14169649.393938769,1.6491641998291016,0.0,0.4126335368355242,0.9415751208495008,72000,0,1.0,1.0,1.0,1.0,1,1,python_sklearn_cpu,proxy,proxy,configs/experiments/tier_p_cicids2017_random_control.yaml,3fa544ebea348b1cdcd24f4062abf190d6e478c7884c01cdb24372ac14f1b2ba,,,,0.0
CICIDS2017,cicids2017_random_control_sample,4,logistic_regression,a0_clean,cpu_proxy,0.938953170606462,0.9584139220294255,0.9486835463179436,0.0,1.0,5.090237012205357e-05,19645450.646054447,1.6492080688476562,0.0,0.4861572305680146,0.9388141667488876,72000,0,1.0,1.0,1.0,1.0,1,1,python_sklearn_cpu,proxy,proxy,configs/experiments/tier_p_cicids2017_random_control.yaml,e0e40221bf96100fed7f86ebe2f0f2b875615da5a67ec4fa1b5bc12e1aca5189,,,,0.0
CICIDS2017,cicids2017_random_control_sample,0,random_forest,a0_clean,cpu_proxy,0.99562233429256,0.9954318643749778,0.9955270993337688,0.0,1.0,0.0015074252027665,663382.8319738195,23.916379928588867,0.0,0.077273844254587,0.9919460638411904,72000,0,1.0,1.0,1.0,1.0,1,1,python_sklearn_cpu,proxy,proxy,configs/experiments/tier_p_cicids2017_random_control.yaml,f9ae82a090e57bde1ff7c28c49d38b7e20ed0b35d3e7bd03432cce37fc1f5ab4,,,,0.0
CICIDS2017,cicids2017_random_control_sample,1,random_forest,a0_clean,cpu_proxy,0.9965393061356124,0.9965256759523576,0.996532491043985,0.0,1.0,0.0015450726319335,647218.764562898,23.91537857055664,0.0,0.0575651308986591,0.993345632735703,72000,0,1.0,1.0,1.0,1.0,1,1,python_sklearn_cpu,proxy,proxy,configs/experiments/tier_p_cicids2017_random_control.yaml,8ca2ab8aefef6b947b0888389d38fedec4a4fa6646d901489a3b6af668e6d684,,,,0.0
CICIDS2017,cicids2017_random_control_sample,2,random_forest,a0_clean,cpu_proxy,0.9970966057210336,0.9969328600618323,0.9970147328914328,0.0,1.0,0.0015641146576374,639339.3189668648,23.91514778137207,0.0,0.0522082578127401,0.993934991107562,72000,0,1.0,1.0,1.0,1.0,1,1,python_sklearn_cpu,proxy,proxy,configs/experiments/tier_p_cicids2017_random_control.yaml,c91f816902e43ec383afa82737bf4ebbb7d25458ce9b06a289da8b73cf923395,,,,0.0
CICIDS2017,cicids2017_random_control_sample,3,random_forest,a0_clean,cpu_proxy,0.9959790319871716,0.9957067363939384,0.9958428841905548,0.0,1.0,0.0014766352236064,677215.3230624332,23.91514778137207,0.0,0.0734794538831162,0.9923379008663356,72000,0,1.0,1.0,1.0,1.0,1,1,python_sklearn_cpu,proxy,proxy,configs/experiments/tier_p_cicids2017_random_control.yaml,3fa544ebea348b1cdcd24f4062abf190d6e478c7884c01cdb24372ac14f1b2ba,,,,0.0
CICIDS2017,cicids2017_random_control_sample,4,random_forest,a0_clean,cpu_proxy,0.99649311141991,0.9962614201576602,0.996377265788785,0.0,1.0,0.0015266329180601,655036.3143424484,23.91505527496338,0.0,0.0639340058884433,0.9930630947072234,72000,0,1.0,1.0,1.0,1.0,1,1,python_sklearn_cpu,proxy,proxy,configs/experiments/tier_p_cicids2017_random_control.yaml,e0e40221bf96100fed7f86ebe2f0f2b875615da5a67ec4fa1b5bc12e1aca5189,,,,0.0
CSE-CIC-IDS2018,cse_cic_ids2018_random_control_sample,0,extra_trees,a0_clean,cpu_proxy,0.8513536279174103,0.8428055878009681,0.8470796078591892,0.0,1.0,0.0050836181581568,196710.2895789811,2.0116004943847656,0.0,2.4999091863890137,0.7968927132625128,6000,0,1.0,1.0,1.0,1.0,1,1,python_sklearn_cpu,proxy,proxy,configs/experiments/tier_p_cse_cic_ids2018_random_control.yaml,33f604df9b7d90a832c10a5178ecc12bc348c4849ea8634a94d119bd89d493fe,,,,0.0
CSE-CIC-IDS2018,cse_cic_ids2018_random_control_sample,1,extra_trees,a0_clean,cpu_proxy,0.8469314983666896,0.8397484756097561,0.8433399869882228,0.0,1.0,0.0046830730753451,213534.99804747457,2.0112342834472656,0.0,2.501905487804878,0.793114033455855,6000,0,1.0,1.0,1.0,1.0,1,1,python_sklearn_cpu,proxy,proxy,configs/experiments/tier_p_cse_cic_ids2018_random_control.yaml,ed2e321605d530a65e43412297f904e91c1a2632885f99e66b64f356c72f3d51,,,,0.0
CSE-CIC-IDS2018,cse_cic_ids2018_random_control_sample,2,extra_trees,a0_clean,cpu_proxy,0.8540687924832627,0.8469379356017017,0.8505033640424822,0.0,1.0,0.0049267334831711,202974.2431604692,2.0111122131347656,0.0,2.390001577314929,0.8025149916588221,6000,0,1.0,1.0,1.0,1.0,1,1,python_sklearn_cpu,proxy,proxy,configs/experiments/tier_p_cse_cic_ids2018_random_control.yaml,efa37272efa7b2b6e5b2cc751e7ffc590bab45e9f96fe81fcb80b26e143a2d4c,,,,0.0
CSE-CIC-IDS2018,cse_cic_ids2018_random_control_sample,3,extra_trees,a0_clean,cpu_proxy,0.8463377285742175,0.8407210598306146,0.843529394202416,0.0,1.0,0.0051750991248809,193233.01368126075,2.0111122131347656,0.0,2.426949488730379,0.7948015459693055,6000,0,1.0,1.0,1.0,1.0,1,1,python_sklearn_cpu,proxy,proxy,configs/experiments/tier_p_cse_cic_ids2018_random_control.yaml,a4c8cd2d14bc3839cde532b5388d73ace61c1fc9533d4660b365cd07ec3c512e,,,,0.0
CSE-CIC-IDS2018,cse_cic_ids2018_random_control_sample,4,extra_trees,a0_clean,cpu_proxy,0.8598741096408316,0.8530239099859354,0.8564490098133835,0.0,1.0,0.0050198088497988,199210.7727448781,2.0111122131347656,0.0,2.2939521800281293,0.8103814313947176,6000,0,1.0,1.0,1.0,1.0,1,1,python_sklearn_cpu,proxy,proxy,configs/experiments/tier_p_cse_cic_ids2018_random_control.yaml,c23615bc1b572f0e9d7b87dd27e6d29e36e1efd0c210dd8d9bf2487bd0d14b92,,,,0.0
CSE-CIC-IDS2018,cse_cic_ids2018_random_control_sample,0,logistic_regression,a0_clean,cpu_proxy,0.8201941474654564,0.8231862754499034,0.8216902114576798,0.0,1.0,0.0002031522665371,4922416.161264133,0.1386318206787109,0.0,2.371726996611505,0.7742429282011122,6000,0,1.0,1.0,1.0,1.0,1,1,python_sklearn_cpu,proxy,proxy,configs/experiments/tier_p_cse_cic_ids2018_random_control.yaml,33f604df9b7d90a832c10a5178ecc12bc348c4849ea8634a94d119bd89d493fe,,,,0.0
CSE-CIC-IDS2018,cse_cic_ids2018_random_control_sample,1,logistic_regression,a0_clean,cpu_proxy,0.8091836562185497,0.8155608788230739,0.8123722675208118,0.0,1.0,0.0002149880581176,4651421.147554079,0.1385879516601562,0.0,2.3673538521099498,0.7650124263726799,6000,0,1.0,1.0,1.0,1.0,1,1,python_sklearn_cpu,proxy,proxy,configs/experiments/tier_p_cse_cic_ids2018_random_control.yaml,ed2e321605d530a65e43412297f904e91c1a2632885f99e66b64f356c72f3d51,,,,0.0
CSE-CIC-IDS2018,cse_cic_ids2018_random_control_sample,2,logistic_regression,a0_clean,cpu_proxy,0.8178597554810585,0.8215222429593685,0.8196909992202135,0.0,1.0,0.0002546217414722,3927394.393808724,0.1386318206787109,0.0,2.3685074980089373,0.7723079986159624,6000,0,1.0,1.0,1.0,1.0,1,1,python_sklearn_cpu,proxy,proxy,configs/experiments/tier_p_cse_cic_ids2018_random_control.yaml,efa37272efa7b2b6e5b2cc751e7ffc590bab45e9f96fe81fcb80b26e143a2d4c,,,,0.0
CSE-CIC-IDS2018,cse_cic_ids2018_random_control_sample,3,logistic_regression,a0_clean,cpu_proxy,0.8172252484768772,0.819458180638771,0.818341714557824,0.0,1.0,0.0003389279415993,2950479.6662121164,0.1385879516601562,0.0,2.44250222014104,0.7694786476214975,6000,0,1.0,1.0,1.0,1.0,1,1,python_sklearn_cpu,proxy,proxy,configs/experiments/tier_p_cse_cic_ids2018_random_control.yaml,a4c8cd2d14bc3839cde532b5388d73ace61c1fc9533d4660b365cd07ec3c512e,,,,0.0
CSE-CIC-IDS2018,cse_cic_ids2018_random_control_sample,4,logistic_regression,a0_clean,cpu_proxy,0.818853902575913,0.8244498693452681,0.8216518859605906,0.0,1.0,0.0001965668667253,5087327.364266919,0.1385879516601562,0.0,2.273474690533208,0.7761696664543706,6000,0,1.0,1.0,1.0,1.0,1,1,python_sklearn_cpu,proxy,proxy,configs/experiments/tier_p_cse_cic_ids2018_random_control.yaml,c23615bc1b572f0e9d7b87dd27e6d29e36e1efd0c210dd8d9bf2487bd0d14b92,,,,0.0
CSE-CIC-IDS2018,cse_cic_ids2018_random_control_sample,0,random_forest,a0_clean,cpu_proxy,0.8637825237321114,0.8483427738124381,0.8560626487722747,0.0,1.0,0.0036203100662532,276219.4347167928,2.01242733001709,0.0,2.647205855090056,0.802932797783912,6000,0,1.0,1.0,1.0,1.0,1,1,python_sklearn_cpu,proxy,proxy,configs/experiments/tier_p_cse_cic_ids2018_random_control.yaml,33f604df9b7d90a832c10a5178ecc12bc348c4849ea8634a94d119bd89d493fe,,,,0.0
CSE-CIC-IDS2018,cse_cic_ids2018_random_control_sample,1,random_forest,a0_clean,cpu_proxy,0.8648327552001158,0.8509364111498258,0.8578845831749708,0.0,1.0,0.0035256208669428,283637.98540457705,2.0114307403564453,0.0,2.5527003484320554,0.8066451275881785,6000,0,1.0,1.0,1.0,1.0,1,1,python_sklearn_cpu,proxy,proxy,configs/experiments/tier_p_cse_cic_ids2018_random_control.yaml,ed2e321605d530a65e43412297f904e91c1a2632885f99e66b64f356c72f3d51,,,,0.0
