event_id,stage,dataset,split_id,seed,model_id,threat_id,start_iso,end_iso,elapsed_s,rows,output_path,detail
1,dataset_load,CICIDS2017,cicids2017_friday_holdout_sample,0,,,2026-06-12T10:45:43.713173+00:00,2026-06-12T10:45:50.167666+00:00,6.454493522644043,240000,,
2,preprocess_manifest,CICIDS2017,cicids2017_friday_holdout_sample,0,,,2026-06-12T10:45:50.167867+00:00,2026-06-12T10:45:52.339881+00:00,2.172013998031616,240000,,
3,split_construction,CICIDS2017,cicids2017_friday_holdout_sample,0,extra_trees,,2026-06-12T10:45:52.340067+00:00,2026-06-12T10:45:52.472659+00:00,0.13259267807006836,240000,,
4,preprocessing,CICIDS2017,cicids2017_friday_holdout_sample,0,extra_trees,,2026-06-12T10:45:52.472782+00:00,2026-06-12T10:45:54.868536+00:00,2.395754337310791,240000,,
5,model_training,CICIDS2017,cicids2017_friday_holdout_sample,0,extra_trees,,2026-06-12T10:45:54.868736+00:00,2026-06-12T10:46:05.223299+00:00,10.354562759399414,240000,,
6,clean_profile,CICIDS2017,cicids2017_friday_holdout_sample,0,extra_trees,,2026-06-12T10:46:05.223390+00:00,2026-06-12T10:46:06.592167+00:00,1.3687763214111328,240000,,
7,threat_evaluation,CICIDS2017,cicids2017_friday_holdout_sample,0,extra_trees,a0_clean,2026-06-12T10:46:06.596857+00:00,2026-06-12T10:46:07.040125+00:00,0.4432687759399414,90000,,
8,result_writing,CICIDS2017,cicids2017_friday_holdout_sample,0,extra_trees,a0_clean,2026-06-12T10:46:07.040320+00:00,2026-06-12T10:46:07.045553+00:00,0.005233287811279297,1,results/raw/tier_e_core4_hgb_mlp_timed_cicids2017/CICIDS2017_cicids2017_friday_holdout_sample_extra_trees_a0_clean_0.csv,
9,threat_evaluation,CICIDS2017,cicids2017_friday_holdout_sample,0,extra_trees,a1_constrained_feature,2026-06-12T10:46:07.045607+00:00,2026-06-12T10:46:07.702129+00:00,0.6565220355987549,90000,,
10,result_writing,CICIDS2017,cicids2017_friday_holdout_sample,0,extra_trees,a1_constrained_feature,2026-06-12T10:46:07.702323+00:00,2026-06-12T10:46:07.705787+00:00,0.0034644603729248047,1,results/raw/tier_e_core4_hgb_mlp_timed_cicids2017/CICIDS2017_cicids2017_friday_holdout_sample_extra_trees_a1_constrained_feature_0.csv,
11,threat_evaluation,CICIDS2017,cicids2017_friday_holdout_sample,0,extra_trees,a1_constrained_score_search,2026-06-12T10:46:07.705842+00:00,2026-06-12T10:46:09.408309+00:00,1.7024672031402588,90000,,
12,result_writing,CICIDS2017,cicids2017_friday_holdout_sample,0,extra_trees,a1_constrained_score_search,2026-06-12T10:46:09.408508+00:00,2026-06-12T10:46:09.412005+00:00,0.0034966468811035156,1,results/raw/tier_e_core4_hgb_mlp_timed_cicids2017/CICIDS2017_cicids2017_friday_holdout_sample_extra_trees_a1_constrained_score_search_0.csv,
13,threat_evaluation,CICIDS2017,cicids2017_friday_holdout_sample,0,extra_trees,a4_split_shift,2026-06-12T10:46:09.412058+00:00,2026-06-12T10:46:09.849049+00:00,0.43699121475219727,90000,,
14,result_writing,CICIDS2017,cicids2017_friday_holdout_sample,0,extra_trees,a4_split_shift,2026-06-12T10:46:09.849242+00:00,2026-06-12T10:46:09.852723+00:00,0.003480672836303711,1,results/raw/tier_e_core4_hgb_mlp_timed_cicids2017/CICIDS2017_cicids2017_friday_holdout_sample_extra_trees_a4_split_shift_0.csv,
15,split_construction,CICIDS2017,cicids2017_friday_holdout_sample,0,hist_gradient_boosting,,2026-06-12T10:46:09.852813+00:00,2026-06-12T10:46:09.984910+00:00,0.1320970058441162,240000,,
16,preprocessing,CICIDS2017,cicids2017_friday_holdout_sample,0,hist_gradient_boosting,,2026-06-12T10:46:09.985038+00:00,2026-06-12T10:46:12.612389+00:00,2.6273505687713623,240000,,
17,model_training,CICIDS2017,cicids2017_friday_holdout_sample,0,hist_gradient_boosting,,2026-06-12T10:46:12.612562+00:00,2026-06-12T10:46:16.050993+00:00,3.4384307861328125,240000,,
18,clean_profile,CICIDS2017,cicids2017_friday_holdout_sample,0,hist_gradient_boosting,,2026-06-12T10:46:16.051087+00:00,2026-06-12T10:46:16.325984+00:00,0.27489709854125977,240000,,
19,threat_evaluation,CICIDS2017,cicids2017_friday_holdout_sample,0,hist_gradient_boosting,a0_clean,2026-06-12T10:46:16.331575+00:00,2026-06-12T10:46:16.433898+00:00,0.10232234001159668,90000,,
20,result_writing,CICIDS2017,cicids2017_friday_holdout_sample,0,hist_gradient_boosting,a0_clean,2026-06-12T10:46:16.434084+00:00,2026-06-12T10:46:16.437558+00:00,0.003473997116088867,1,results/raw/tier_e_core4_hgb_mlp_timed_cicids2017/CICIDS2017_cicids2017_friday_holdout_sample_hist_gradient_boosting_a0_clean_0.csv,
21,threat_evaluation,CICIDS2017,cicids2017_friday_holdout_sample,0,hist_gradient_boosting,a1_constrained_feature,2026-06-12T10:46:16.437606+00:00,2026-06-12T10:46:16.766996+00:00,0.3293895721435547,90000,,
22,result_writing,CICIDS2017,cicids2017_friday_holdout_sample,0,hist_gradient_boosting,a1_constrained_feature,2026-06-12T10:46:16.767178+00:00,2026-06-12T10:46:16.770589+00:00,0.0034105777740478516,1,results/raw/tier_e_core4_hgb_mlp_timed_cicids2017/CICIDS2017_cicids2017_friday_holdout_sample_hist_gradient_boosting_a1_constrained_feature_0.csv,
