event_id,stage,dataset,split_id,seed,model_id,threat_id,start_iso,end_iso,elapsed_s,rows,output_path,detail
1,dataset_load,CSE-CIC-IDS2018,cse_cic_ids2018_friday_holdout_sample,0,,,2026-06-12T11:01:45.495608+00:00,2026-06-12T11:02:29.514844+00:00,44.01923584938049,20000,,
2,preprocess_manifest,CSE-CIC-IDS2018,cse_cic_ids2018_friday_holdout_sample,0,,,2026-06-12T11:02:29.515009+00:00,2026-06-12T11:02:31.725613+00:00,2.210603713989258,20000,,
3,split_construction,CSE-CIC-IDS2018,cse_cic_ids2018_friday_holdout_sample,0,extra_trees,,2026-06-12T11:02:31.725796+00:00,2026-06-12T11:02:31.781026+00:00,0.05523061752319336,20000,,
4,preprocessing,CSE-CIC-IDS2018,cse_cic_ids2018_friday_holdout_sample,0,extra_trees,,2026-06-12T11:02:31.781151+00:00,2026-06-12T11:02:34.039704+00:00,2.2585527896881104,20000,,
5,model_training,CSE-CIC-IDS2018,cse_cic_ids2018_friday_holdout_sample,0,extra_trees,,2026-06-12T11:02:34.039919+00:00,2026-06-12T11:02:35.139817+00:00,1.099898099899292,20000,,
6,clean_profile,CSE-CIC-IDS2018,cse_cic_ids2018_friday_holdout_sample,0,extra_trees,,2026-06-12T11:02:35.139899+00:00,2026-06-12T11:02:35.328537+00:00,0.18863773345947266,20000,,
7,threat_evaluation,CSE-CIC-IDS2018,cse_cic_ids2018_friday_holdout_sample,0,extra_trees,a0_clean,2026-06-12T11:02:35.340361+00:00,2026-06-12T11:02:35.405059+00:00,0.06469869613647461,5000,,
8,result_writing,CSE-CIC-IDS2018,cse_cic_ids2018_friday_holdout_sample,0,extra_trees,a0_clean,2026-06-12T11:02:35.405231+00:00,2026-06-12T11:02:35.409454+00:00,0.0042231082916259766,1,results/raw/tier_e_core4_hgb_mlp_timed_cse_cic_ids2018/CSE-CIC-IDS2018_cse_cic_ids2018_friday_holdout_sample_extra_trees_a0_clean_0.csv,
9,threat_evaluation,CSE-CIC-IDS2018,cse_cic_ids2018_friday_holdout_sample,0,extra_trees,a1_constrained_feature,2026-06-12T11:02:35.409500+00:00,2026-06-12T11:02:35.532497+00:00,0.12299680709838867,5000,,
10,result_writing,CSE-CIC-IDS2018,cse_cic_ids2018_friday_holdout_sample,0,extra_trees,a1_constrained_feature,2026-06-12T11:02:35.532686+00:00,2026-06-12T11:02:35.535936+00:00,0.003250598907470703,1,results/raw/tier_e_core4_hgb_mlp_timed_cse_cic_ids2018/CSE-CIC-IDS2018_cse_cic_ids2018_friday_holdout_sample_extra_trees_a1_constrained_feature_0.csv,
11,threat_evaluation,CSE-CIC-IDS2018,cse_cic_ids2018_friday_holdout_sample,0,extra_trees,a1_constrained_score_search,2026-06-12T11:02:35.535978+00:00,2026-06-12T11:02:35.916770+00:00,0.38079118728637695,5000,,
12,result_writing,CSE-CIC-IDS2018,cse_cic_ids2018_friday_holdout_sample,0,extra_trees,a1_constrained_score_search,2026-06-12T11:02:35.916962+00:00,2026-06-12T11:02:35.920220+00:00,0.0032575130462646484,1,results/raw/tier_e_core4_hgb_mlp_timed_cse_cic_ids2018/CSE-CIC-IDS2018_cse_cic_ids2018_friday_holdout_sample_extra_trees_a1_constrained_score_search_0.csv,
13,threat_evaluation,CSE-CIC-IDS2018,cse_cic_ids2018_friday_holdout_sample,0,extra_trees,a4_split_shift,2026-06-12T11:02:35.920264+00:00,2026-06-12T11:02:35.984545+00:00,0.06428074836730957,5000,,
