event_id,stage,dataset,split_id,seed,model_id,threat_id,start_iso,end_iso,elapsed_s,rows,output_path,detail
1,dataset_load,UNSW-NB15,unsw_nb15_official_full,0,,,2026-06-12T10:10:28.966585+00:00,2026-06-12T10:10:29.256660+00:00,0.29007554054260254,257673,,
2,preprocess_manifest,UNSW-NB15,unsw_nb15_official_full,0,,,2026-06-12T10:10:29.256819+00:00,2026-06-12T10:10:34.522385+00:00,5.265566110610962,257673,,
3,split_construction,UNSW-NB15,unsw_nb15_official_full,0,extra_trees,,2026-06-12T10:10:34.522538+00:00,2026-06-12T10:10:34.753402+00:00,0.2308645248413086,257673,,
4,preprocessing,UNSW-NB15,unsw_nb15_official_full,0,extra_trees,,2026-06-12T10:10:34.753530+00:00,2026-06-12T10:10:40.752574+00:00,5.999044179916382,257673,,
5,model_training,UNSW-NB15,unsw_nb15_official_full,0,extra_trees,,2026-06-12T10:10:40.752778+00:00,2026-06-12T10:11:00.196141+00:00,19.443363904953003,257673,,
6,clean_profile,UNSW-NB15,unsw_nb15_official_full,0,extra_trees,,2026-06-12T10:11:00.196232+00:00,2026-06-12T10:11:02.589540+00:00,2.393307685852051,257673,,
7,threat_evaluation,UNSW-NB15,unsw_nb15_official_full,0,extra_trees,a0_clean,2026-06-12T10:11:02.597928+00:00,2026-06-12T10:11:03.394121+00:00,0.7961926460266113,82332,,
8,result_writing,UNSW-NB15,unsw_nb15_official_full,0,extra_trees,a0_clean,2026-06-12T10:11:03.394312+00:00,2026-06-12T10:11:03.399314+00:00,0.005002498626708984,1,results/raw/tier_e_core4_hgb_mlp_timed_expanded/UNSW-NB15_unsw_nb15_official_full_extra_trees_a0_clean_0.csv,
9,threat_evaluation,UNSW-NB15,unsw_nb15_official_full,0,extra_trees,a1_constrained_feature,2026-06-12T10:11:03.399372+00:00,2026-06-12T10:11:04.504099+00:00,1.1047265529632568,82332,,
10,result_writing,UNSW-NB15,unsw_nb15_official_full,0,extra_trees,a1_constrained_feature,2026-06-12T10:11:04.504384+00:00,2026-06-12T10:11:04.508099+00:00,0.0037152767181396484,1,results/raw/tier_e_core4_hgb_mlp_timed_expanded/UNSW-NB15_unsw_nb15_official_full_extra_trees_a1_constrained_feature_0.csv,
11,threat_evaluation,UNSW-NB15,unsw_nb15_official_full,0,extra_trees,a1_constrained_score_search,2026-06-12T10:11:04.508161+00:00,2026-06-12T10:11:08.770390+00:00,4.2622292041778564,82332,,
12,result_writing,UNSW-NB15,unsw_nb15_official_full,0,extra_trees,a1_constrained_score_search,2026-06-12T10:11:08.770632+00:00,2026-06-12T10:11:08.774130+00:00,0.003498554229736328,1,results/raw/tier_e_core4_hgb_mlp_timed_expanded/UNSW-NB15_unsw_nb15_official_full_extra_trees_a1_constrained_score_search_0.csv,
13,threat_evaluation,UNSW-NB15,unsw_nb15_official_full,0,extra_trees,a4_split_shift,2026-06-12T10:11:08.774178+00:00,2026-06-12T10:11:09.574879+00:00,0.8007006645202637,82332,,
